Molecular_Name,SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3
Aromatic_1,C(=O)Nc1ccc(I)cc1,10.0,10.0,10.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,247.035,73.26855,34.92,2.794035342602733,0.0113102812609243,29.1,1.8595,48.84570000000001,0.0,3.371637580221833,0.2110124699201177,-0.3286967902228857,7.697835424647081e-18,1.0,1.0,0.0,2.7828495900077543,219.5526454939854,-0.5800000000000001,1.982580223575813
Aromatic_2,Cc1ccc(CC)cc1,9.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,120.195,60.835500000000025,0.0,2.277748150577892,0.0189504399652851,0.0,2.5574200000000005,40.557000000000016,0.3333333333333333,1.9757378179559983,0.0625700960116465,-0.0612941353882633,2.147752875018904e-18,1.0,1.0,0.0,2.8815558776461354,171.73472797861996,-0.78,1.5627607309331124
Aromatic_3,Cc1ccc(OC)cc1,9.0,9.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,122.167,56.59650000000001,11.076,2.2754379852570863,0.0186256351275831,9.23,2.00362,37.73100000000001,0.25,2.1585610036210534,0.1183773845727294,-0.4967682217545404,-1.4608197692436273e-18,1.0,1.0,0.0,2.8815558776461354,176.26405299160078,-0.98,1.4567376919048354
Aromatic_4,Clc1ccccc1,7.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,112.55899999999995,47.178,0.0,1.928719254519127,0.0171351845466283,0.0,2.34,31.452,0.0,2.385836568192026,0.0638401535488038,-0.0843444765249014,-8.0953762212251e-18,1.0,1.0,0.0,3.0214653097240864,134.10736969541455,-0.49,1.2036104723218577
Aromatic_5,CCCc1ccc(C(=O)N)cc1,12.0,12.0,12.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,163.21999999999997,73.43235000000004,51.708000000000006,2.9870438236105827,0.0183007217578106,43.09,1.738,48.95490000000002,0.3,2.2227260570753056,0.2481954516192296,-0.3655995093553835,-3.469446951953614e-18,1.0,1.0,0.0,2.780862288870475,263.6719978261822,-1.31,2.087500407228809
Aromatic_6,Clc1ccc(C#N)cc1,9.0,9.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,137.569,54.25050000000002,28.548,2.46562140060777,0.0179227978882231,23.79,2.2116799999999994,36.167000000000016,0.0,2.5358106831124,0.0991106064691412,-0.1924370377184198,1.0675221390626506e-18,1.0,1.0,0.0,3.056038396227261,232.0882179862608,-1.0,1.4462809917355373
Aromatic_7,C(=O)Oc1ccc(N)cc1,10.0,10.0,10.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,137.138,56.31960000000001,62.784,2.396199875911699,0.0174729094666597,52.32,0.8039999999999998,37.546400000000006,0.0,2.4349959439520887,0.2979959828757008,-0.4287619215633603,8.163404592832033e-19,1.0,1.0,0.0,2.7828495900077543,217.5526454939854,-1.5099999999999998,1.4816626331899465
Aromatic_8,C(=O)Oc1ccc(CC)cc1,11.0,11.0,11.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,150.177,63.76800000000003,31.56,2.6283528671176826,0.0175017003243904,26.3,1.7841999999999998,42.51200000000002,0.2222222222222222,2.355052654073317,0.2979959661359557,-0.4287642651655149,-5.451988067355679e-18,1.0,1.0,0.0,2.7366739543410024,225.8229784140701,-1.31,2.075224641853074
Aromatic_9,Brc1ccc(Br)cc1,8.0,8.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,235.906,62.763000000000005,0.0,2.850477846711774,0.0120831086730675,0.0,3.2116000000000007,41.842000000000006,0.0,3.75867941687492,0.0634994081377295,-0.0508383299396023,-1.1564823173178713e-18,1.0,1.0,0.0,3.0324555320336755,145.38833891467198,0.1799999999999999,1.6001195765031015
Aromatic_10,OCc1ccc(F)cc1,9.0,9.0,9.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,126.12999999999998,48.48419999999999,24.276,2.2514092803758845,0.0178499109056209,20.23,1.318,32.322799999999994,0.1428571428571428,2.601465990952393,0.2105281974963762,-0.3916804404752167,9.107298248878237e-18,1.0,1.0,0.0,2.881555877646136,180.61256853719752,-0.8900000000000001,1.5041227606108942
