SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg
Ic1ccc(Br)cc1,8,8,8,0,1,0,2,0,0,0,282.906,70.2885,0.0,2.965775467,0.010483254,0.0,3.0537,46.859,0.0,4.024925784,0.063496886,-0.050838414,-4.19e-18,1,1,0,3.032455532,147.3883389,0.43,1.742777784,327.15832892857134
C(=O)Oc1ccc(C(=O)O)cc1,12,12,12,3,1,0,4,1,3,0,166.132,60.13995,76.32,2.791461155,0.01680267,63.6,0.92,40.0933,0.0,2.762423268,0.335182868,-0.477639225,-2.04e-17,1,1,0,2.846340724,288.4310995,-1.84,1.820194513,436.9570999999998
Nc1ccc(C(=O)N)cc1,10,10,10,1,1,0,3,2,2,0,136.154,59.05845,82.932,2.406745288,0.01767664,69.11,0.3677,39.3723,0.0,2.305410956,0.248197694,-0.39872822,-7.71e-19,1,1,0,3.003400685,240.2879489,-1.51,1.253904639,442.3658166666666
OCc1ccccc1,8,8,8,1,1,0,1,1,1,0,108.14,48.5472,24.276,2.005720036,0.018547439,20.23,1.1789,32.3648,0.142857143,2.22752286,0.210528197,-0.391680468,2.82e-18,1,1,0,2.832085835,145.7328145,-0.82,1.073981897,261.10680952380926
CCCc1ccc(N)cc1,10,10,10,2,1,0,1,1,1,0,135.21,67.2741,31.224,2.442786839,0.018066614,26.02,2.2213,44.8494,0.333333333,2.009837337,0.156215748,-0.398728562,6.03e-19,1,1,0,2.693803452,188.3881692,-0.98,1.760845125,346.22534980158736
C(=O)Oc1ccc(O)cc1,10,10,10,2,1,0,3,1,3,0,138.122,52.1982,55.836,2.392162881,0.017319202,46.53,0.9274,34.7988,0.0,2.64610652,0.297995998,-0.507962229,-1.43e-17,1,1,0,2.78284959,214.797758,-1.51,1.481662633,401.4450166666666
NCc1ccc(Cl)cc1,9,9,9,1,1,0,2,1,1,0,141.601,59.0151,31.224,2.460020812,0.017372906,26.02,1.7987,39.3434,0.142857143,2.399402824,0.118713007,-0.326497493,-1.02e-18,1,1,0,2.881555878,180.6125685,-0.53,1.698902356,390.4162583333333
CCCc1ccc(CCC)cc1,12,12,12,4,1,0,0,0,0,0,162.276,81.648,0.0,2.880548744,0.017750923,0.0,3.5916,54.432,0.5,1.987507324,0.062570442,-0.065065438,2.31e-19,1,1,0,2.583598666,182.984849,-0.78,2.689337151,292.78390685606064
Clc1ccc(C)cc1,8,8,8,0,1,0,1,0,0,0,126.586,54.2835,0.0,2.214902257,0.017497213,0.0,2.64842,36.189,0.142857143,2.331942444,0.063850128,-0.084344136,1.85e-18,1,1,0,3.032455532,143.2466295,-0.49,1.239206403,224.28080630952357
Clc1ccc(Cl)cc1,8,8,8,0,1,0,2,0,0,0,147.004,54.693,0.0,2.434805986,0.016562855,0.0,2.9934,36.462,0.0,2.687802778,0.063893322,-0.084342698,-1.16e-17,1,1,0,3.032455532,145.3883389,-0.2,1.391420242,308.80665333333314
