SMILES,NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,NumHeteroatoms,NumHDonors,NumHAcceptors,FormalCharge,MolecularWeight,MolecularVolume,SurfaceArea,RadiusOfGyration,ShapeFactor,TPSA,LogP,MolarRefractivity,FractionCSP3,Density,MaxPartialCharge,MinPartialCharge,AvgPartialCharge,NumRings,NumAromaticCarbocycles,NumSaturatedCarbocycles,BalabanJ,BertzCT,HallKierAlpha,Kappa3,Tg_K
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,47,23,47,17,0,1,11,9,11,0,344.3129999999996,300.4080000000001,165.6223016886135,3.8682211090466687,0.4217718602775155,200.53,-5.761199999999993,70.83220000000003,1.0,1.1461512343213214,0.2108489277328385,-0.3935791349685554,1.7716324861039733e-17,1,0,0,4.3079207880047,1110.2098238014664,-0.4399999999999999,5.014071986274989,420.75
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.3760000000001,162.03917075393227,3.7851676231841793,0.4607685964935363,189.53,-5.397199999999994,68.61940000000003,1.0,1.1828797135906208,0.213463409816357,-0.3935665150995826,5.551115123125783e-18,2,0,0,3.034544228157595,1112.2091415147397,-0.4399999999999999,3.805051280688701,498.15
C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,45,23,46,12,0,2,11,8,11,0,342.2969999999996,289.3760000000001,162.03917075393227,3.7851676231841793,0.4607685964935363,189.53,-5.397199999999994,68.61940000000003,1.0,1.1828797135906208,0.213463409816357,-0.3935665150995826,5.551115123125783e-18,2,0,0,3.034544228157595,1112.2091415147397,-0.4399999999999999,3.805051280688701,498.15
C(C1C(C(C(C(O1)OCC(C(C(C(=O)CO)O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.88000000000005,162.0929787779984,3.887113725880282,0.4335111875892272,197.37,-5.552999999999995,69.83240000000002,0.9166666666666666,1.1608010037981538,0.2112288165853596,-0.3935665150995827,9.56025382316107e-18,1,0,0,4.2227646186887045,1088.5911246685162,-0.7300000000000002,4.870433971610426,396.15
C(C1C(C(C(C(O1)OC(C=O)C(C(C(CO)O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.65600000000006,162.09297877799838,3.5865329520186537,0.3433739814786511,197.37,-5.5545999999999935,69.81040000000002,0.9166666666666666,1.16168345460469,0.2108489321816046,-0.3935791329046242,4.009138700035287e-18,1,0,0,4.414481327524202,1092.591124668516,-0.7300000000000002,4.637265712935827,461.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.36800000000005,162.09297877799838,3.32935352466714,0.1608119189852913,197.37,-5.5545999999999935,69.81040000000002,0.9166666666666666,1.1628200076095212,0.2112112716648802,-0.3935789359909636,9.86864910777917e-18,1,0,0,4.639787400153881,1092.591124668516,-0.7300000000000002,4.637265712935827,496.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.36800000000005,162.09297877799838,3.32935352466714,0.1608119189852913,197.37,-5.5545999999999935,69.81040000000002,0.9166666666666666,1.1628200076095212,0.2112112716648802,-0.3935789359909636,9.86864910777917e-18,1,0,0,4.639787400153881,1092.591124668516,-0.7300000000000002,4.637265712935827,496.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.36800000000005,162.09297877799838,3.32935352466714,0.1608119189852913,197.37,-5.5545999999999935,69.81040000000002,0.9166666666666666,1.1628200076095212,0.2112112716648802,-0.3935789359909636,9.86864910777917e-18,1,0,0,4.639787400153881,1092.591124668516,-0.7300000000000002,4.637265712935827,496.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.36800000000005,162.09297877799838,3.32935352466714,0.1608119189852913,197.37,-5.5545999999999935,69.81040000000002,0.9166666666666666,1.1628200076095212,0.2112112716648802,-0.3935789359909636,9.86864910777917e-18,1,0,0,4.639787400153881,1092.591124668516,-0.7300000000000002,4.637265712935827,496.0
C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C=O)O)O)O)O)O)O,45,23,45,16,0,1,11,8,11,0,342.2969999999996,294.36800000000005,162.09297877799838,3.32935352466714,0.1608119189852913,197.37,-5.5545999999999935,69.81040000000002,0.9166666666666666,1.1628200076095212,0.2112112716648802,-0.3935789359909636,9.86864910777917e-18,1,0,0,4.639787400153881,1092.591124668516,-0.7300000000000002,4.637265712935827,496.0
